borough,dog_name,gender,dominant_color,n
Queens,Max,Male,BLACK,81
Manhattan,Lucy,Female,BLACK,77
Brooklyn,Max,Male,BLACK,72
Staten Island,Bella,Female,BLACK,53
Bronx,Max,Male,BLACK,39
