dog_name,gender,n
Frank,M,18
Jessie,M,18
Manny,M,18
Maxx,M,18
Merlin,M,18
Monte,M,18
Pippin,M,18
Pluto,M,18
Poochie,M,18
Roger,M,18
Rupert,M,18
Shea,M,18
Shiloh,M,18
Titan,M,18
Tuffy,M,18
Valentino,M,18
Atticus,M,17
Bronx,M,17
Bully,M,17
Butter,M,17
Captain,M,17
Clifford,M,17
Colby,M,17
Comet,M,17
Flash,M,17
Gatsby,M,17
Jet,M,17
Lincoln,M,17
Linus,M,17
Lobo,M,17
Maxi,M,17
Peluche,M,17
Popeye,M,17
Rock,M,17
Terry,M,17
Thomas,M,17
Tino,M,17
BAM-BAM,M,16
Bishop,M,16
Boots,M,16
Buzz,M,16
Charly,M,16
Clancy,M,16
Cole,M,16
Iggy,M,16
Izzy,M,16
Kaiser,M,16
Kiko,M,16
Koda,M,16
Lex,M,16
Malcolm,M,16
Marcus,M,16
Michael,M,16
Micky,M,16
Morgan,M,16
Mozart,M,16
Tobi,M,16
Truman,M,16
Zack,M,16
Alexander,M,15
Arnold,M,15
BJ,M,15
Boss,M,15
Bowie,M,15
Cesar,M,15
Chief,M,15
Coby,M,15
Conan,M,15
Cubby,M,15
Dewey,M,15
Emmett,M,15
Julius,M,15
London,M,15
Magic,M,15
Maxie,M,15
Mochi,M,15
Nene,M,15
Nikki,M,15
Phoenix,M,15
Randy,M,15
Rugby,M,15
Sammie,M,15
Spirit,M,15
Trevor,M,15
Ty,M,15
Wilson,M,15
AJ,M,14
Barley,M,14
Bogey,M,14
Brandon,M,14
Bruiser,M,14
Carter,M,14
Chewbacca,M,14
Chino,M,14
Chuck,M,14
Coconut,M,14
Dallas,M,14
Dolce,M,14
Dude,M,14
Elmo,M,14
Finnegan,M,14
Floyd,M,14
Jacques,M,14
Kevin,M,14
Marco,M,14
Moby,M,14
Munchkin,M,14
Nacho,M,14
Owen,M,14
Rebel,M,14
Roy,M,14
Sandy,M,14
Sarge,M,14
Sasha,M,14
Sidney,M,14
Zachary,M,14
Ali,M,13
Augie,M,13
Bacon,M,13
Boo-Boo,M,13
Frosty,M,13
Gordon,M,13
Gunther,M,13
Haze,M,13
Ice,M,13
Ike,M,13
Indiana,M,13
Kato,M,13
Killer,M,13
Kody,M,13
Larry,M,13
Leonardo,M,13
Levi,M,13
Lil,M,13
Marshmallow,M,13
Mike,M,13
Muffin,M,13
Noodles,M,13
Norton,M,13
PeeWee,M,13
Pepsi,M,13
Pinto,M,13
Porkchop,M,13
Ripley,M,13
Sherlock,M,13
