dog_name,gender,n
Tilly,F,15
Trinity,F,15
Abbie,F,14
Bear,F,14
Cheyenne,F,14
Cuddles,F,14
Eve,F,14
Franny,F,14
Harper,F,14
India,F,14
Isabel,F,14
Jessica,F,14
Jojo,F,14
Kitty,F,14
Lala,F,14
Maisie,F,14
Maisy,F,14
May,F,14
Mochi,F,14
Momo,F,14
Nora,F,14
Pookie,F,14
Poppy,F,14
Priscilla,F,14
Anna,F,13
Apple,F,13
Asia,F,13
Beatrice,F,13
Blondie,F,13
Cassidy,F,13
Cha-Cha,F,13
Chocolate,F,13
Chole,F,13
Chrissy,F,13
Clara,F,13
Cody,F,13
Edie,F,13
Frances,F,13
Georgie,F,13
Jill,F,13
Jolie,F,13
Josephine,F,13
Kasey,F,13
Kaylee,F,13
Misha,F,13
Munchkin,F,13
Nelly,F,13
Nia,F,13
Nicky,F,13
Nico,F,13
Nika,F,13
Nyla,F,13
Panda,F,13
Pepsi,F,13
Perla,F,13
Pickles,F,13
Pippa,F,13
Princesa,F,13
Roxi,F,13
Sheeba,F,13
Snowflake,F,13
Sushi,F,13
Tiki,F,13
Valentina,F,13
Whitney,F,13
Aurora,F,12
Barbie,F,12
Blossom,F,12
Bonita,F,12
Cara,F,12
Cici,F,12
Coconut,F,12
Darcy,F,12
Elsie,F,12
Emmie,F,12
Freckles,F,12
Hennessy,F,12
Jane,F,12
Juicy,F,12
Julia,F,12
Kaya,F,12
Lacy,F,12
Laika,F,12
Lassie,F,12
Leia,F,12
Lilo,F,12
Lisa,F,12
Magic,F,12
Melody,F,12
Natasha,F,12
Niki,F,12
Parker,F,12
Patsy,F,12
Scarlet,F,12
Shana,F,12
Shiloh,F,12
Simba,F,12
Tammy,F,12
Teddy,F,12
Tracy,F,12
Yuki,F,12
Ariel,F,11
Beba,F,11
Bridget,F,11
Chispita,F,11
Cinderella,F,11
Coffee,F,11
Gabriella,F,11
Jersey,F,11
Kimba,F,11
Kisses,F,11
Krystal,F,11
Lana,F,11
Lea,F,11
Liza,F,11
Madeline,F,11
Maia,F,11
Queen,F,11
Ripley,F,11
Scruffy,F,11
Shakira,F,11
Shannon,F,11
Sheila,F,11
Sienna,F,11
Stevie,F,11
Babe,F,10
Bela,F,10
Brenda,F,10
Claire,F,10
Cutie,F,10
Dina,F,10
Elizabeth,F,10
Elsa,F,10
Gabrielle,F,10
Guinness,F,10
Halle,F,10
Halo,F,10
Jamie,F,10
Java,F,10
Jewels,F,10
Joey,F,10
Judy,F,10
Kahlua,F,10
Keiko,F,10
Lena,F,10
London,F,10
Luca,F,10
Lupe,F,10
Maple,F,10
Mina,F,10
Nicki,F,10
Paisley,F,10
Prada,F,10
Rachel,F,10
Rudy,F,10
Sage,F,10
Susy,F,10
Tabitha,F,10
Tanya,F,10
Tequila,F,10
Tessie,F,10
Tiger,F,10
Willa,F,10
Agnes,F,9
Amanda,F,9
Bean,F,9
Chili,F,9
Dallas,F,9
Dana,F,9
Dutches,F,9
Eleanor,F,9
Gertrude,F,9
Gretchen,F,9
Hailey,F,9
Hana,F,9
Iris,F,9
Izzie,F,9
KIARA,F,9
Kylie,F,9
Kyra,F,9
Lizzy,F,9
Louise,F,9
Lucia,F,9
Michelle,F,9
Mitzy,F,9
Negra,F,9
Nell,F,9
Nola,F,9
Ollie,F,9
Paige,F,9
Patty,F,9
Phoenix,F,9
Reina,F,9
Remi,F,9
River,F,9
Rusty,F,9
Sacha,F,9
Saki,F,9
Sammi,F,9
Sapphire,F,9
Shirley,F,9
Simone,F,9
Smokey,F,9
Toto,F,9
Trina,F,9
Trouble,F,9
Uma,F,9
Valentine,F,9
Vicky,F,9
Yoshi,F,9
Zooey,F,9
Zsa,F,9
Zuzu,F,9
Ali,F,8
Bagel,F,8
Blu,F,8
Boo-Boo,F,8
Brandie,F,8
Button,F,8
Candie,F,8
Canela,F,8
Caramel,F,8
CC,F,8
Cee-Cee,F,8
Charley,F,8
Chewie,F,8
Cora,F,8
Domino,F,8
Ethel,F,8
Fancy,F,8
Freya,F,8
Gemma,F,8
Gertie,F,8
Godiva,F,8
Gwen,F,8
Hera,F,8
Hudson,F,8
Jazmine,F,8
Jewel,F,8
Jinx,F,8
Katy,F,8
Keira,F,8
Kuma,F,8
Lacie,F,8
Lexington,F,8
Lina,F,8
Maggy,F,8
Magnolia,F,8
Max,F,8
Melanie,F,8
Mercedes,F,8
Mishka,F,8
Moose,F,8
Nahla,F,8
Noelle,F,8
Ophelia,F,8
Paloma,F,8
PHEOBE,F,8
Reba,F,8
Reese,F,8
Reilly,F,8
Rosey,F,8
Sake,F,8
Sandra,F,8
Scooter,F,8
Serena,F,8
Shiva,F,8
Shorty,F,8
Skylar,F,8
Snookie,F,8
Sparky,F,8
Spirit,F,8
Stormy,F,8
Taz,F,8
Tippy,F,8
Tula,F,8
Virginia,F,8
Winter,F,8
Ziggy,F,8
Asta,F,7
Bee,F,7
Bitsy,F,7
Brady,F,7
Brianna,F,7
Cassandra,F,7
Chai,F,7
Chispa,F,7
Clio,F,7
Cloe,F,7
Comet,F,7
Connie,F,7
Cotton,F,7
DJ,F,7
Dori,F,7
Dorothy,F,7
Dotty,F,7
Eevee,F,7
Estrellita,F,7
Etta,F,7
Flora,F,7
Francesca,F,7
Gemini,F,7
Hayley,F,7
HEATHER,F,7
Indie,F,7
Ivory,F,7
Jet,F,7
Jordan,F,7
Kate,F,7
Kona,F,7
Leela,F,7
Lilah,F,7
Lilli,F,7
Lillie,F,7
Loki,F,7
Lu,F,7
Lucille,F,7
Lulubelle,F,7
Mariah,F,7
Mazzy,F,7
Megan,F,7
Merry,F,7
Mica,F,7
Milky,F,7
Milly,F,7
Myrtle,F,7
Pelusa,F,7
Pickle,F,7
Preciosa,F,7
Rainbow,F,7
Rio,F,7
Rosa,F,7
Saba,F,7
Sisi,F,7
Sissy,F,7
Snoopy,F,7
Sonya,F,7
Spunky,F,7
Sundae,F,7
Sylvia,F,7
Taylor,F,7
Tinker,F,7
Toby,F,7
Tosca,F,7
Tulip,F,7
Twinkle,F,7
Addie,F,6
Addy,F,6
Adele,F,6
Akira,F,6
ALEXANDRA,F,6
Alexis,F,6
Alma,F,6
Angelina,F,6
Aria,F,6
Aries,F,6
BABETTE,F,6
Babygirl,F,6
Blacky,F,6
Boots,F,6
Brittany,F,6
Brook,F,6
Candi,F,6
Carmen,F,6
Carrie,F,6
Cece,F,6
Chance,F,6
Chiqui,F,6
Christmas,F,6
Christy,F,6
CO,F,6
Cosita,F,6
Daisey,F,6
Dasha,F,6
Desi,F,6
Dior,F,6
Doris,F,6
Dulce,F,6
Elle,F,6
Evie,F,6
Farrah,F,6
Fenway,F,6
Fergie,F,6
Gem,F,6
Ginny,F,6
Gloria,F,6
Hanna,F,6
Harlow,F,6
Hunter,F,6
Jelly,F,6
Jessy,F,6
Jetta,F,6
JJ,F,6
Kelsey,F,6
Kerry,F,6
Kobe,F,6
LA,F,6
Ladybug,F,6
Lara,F,6
Lita,F,6
Loca,F,6
Lolly,F,6
Mackenzie,F,6
Mae,F,6
Marble,F,6
Maria,F,6
Marie,F,6
Mickey,F,6
Midnite,F,6
Mimosa,F,6
Miranda,F,6
Moka,F,6
Monkey,F,6
Mookie,F,6
Mystic,F,6
Nani,F,6
Nicole,F,6
Nova,F,6
Pandora,F,6
Patti,F,6
Pippi,F,6
Powder,F,6
Presley,F,6
Princessa,F,6
Prudence,F,6
Puppy,F,6
Reeses,F,6
Rigby,F,6
Rita,F,6
Rogue,F,6
Rosy,F,6
Sachi,F,6
Schatzi,F,6
