name,id,week,place,left,image_path,label
,,20,0.59940931,,,
,,21,0.666775339,,,
,,22,0.542493083,,,
,,23,0.795457773,,,
,,24,0.880453791,,,
,,25,0.143666892,,,
,,26,0.475970743,,,
,,27,0.918138739,,,
,,28,0.709324483,,,
,,29,,,,
